item_name,thumb,url_name,id,avg_price
Magus Firewall,items/images/en/thumbs/magus_firewall.76ccbdc51cd207a32782be2bebe3b849.128x128.png,magus_firewall,5c1bda1014a8e4006b1dad75,314.0
Magus Overload,items/images/en/thumbs/magus_overload.c575b29c15d999083923ee609dcda264.128x128.png,magus_overload,5c1bda0814a8e4006b1dad63,247.0
Magus Destruct,items/images/en/thumbs/magus_destruct.5d566d3caf8a4d577f3316224757d24f.128x128.png,magus_destruct,5c1bda2414a8e4006b1dada6,229.0
Magus Revert,items/images/en/thumbs/magus_revert.5265627e260f59579d8073a749956ce5.128x128.png,magus_revert,5c1bd9fe14a8e4006b1dad53,222.0
Magus Glitch,items/images/en/thumbs/magus_glitch.280ca4675b8d1d36f742493903bf7c3c.128x128.png,magus_glitch,5c1bda1e14a8e4006b1dad95,220.0
Magus Accelerant,items/images/en/thumbs/magus_accelerant.3d50149a79c8ec5ab2a2499da47244e2.128x128.png,magus_accelerant,5c1bda1114a8e4006b1dad78,172.0
Magus Replenish,items/images/en/thumbs/magus_replenish.b65658da1b4a7e7090c6439e28476d39.128x128.png,magus_replenish,5a04750d6c4655012038ddcc,161.0
Magus Repair,items/images/en/thumbs/magus_repair.476b8fa90aceb37cf1b07e223f1669fb.128x128.png,magus_repair,5c1bda1b14a8e4006b1dad92,158.0
Magus Cloud,items/images/en/thumbs/magus_cloud.911f21546c5c95ceb5e23bb5127fd9e4.128x128.png,magus_cloud,5a04750e6c4655012038ddcf,140.0
Magus Melt,items/images/en/thumbs/magus_melt.4b9f09f76e8d5c38d170209ecfda3481.128x128.png,magus_melt,5c1bd9f814a8e4006b1dad48,138.0
Magus Nourish,items/images/en/thumbs/magus_nourish.a33f07304a72500072d20d13258e119b.128x128.png,magus_nourish,5a0475096c4655012038ddc4,136.0
Magus Lockdown,items/images/en/thumbs/magus_lockdown.db5242eedb9db87b7e8638c3a2aa4cce.128x128.png,magus_lockdown,5c1bda0f14a8e4006b1dad72,108.0
Magus Vigor,items/images/en/thumbs/magus_vigor.473998d768bd420877df79cdd55c6188.128x128.png,magus_vigor,5a0475086c4655012038ddbf,101.0
Magus Cadence,items/images/en/thumbs/magus_cadence.c86f261fe3644b1eb27e22d4a53fa318.128x128.png,magus_cadence,5a0475076c4655012038ddbe,98.0
Magus Elevate,items/images/en/thumbs/magus_elevate.c2f5a10648687f0c0fc4f66f5df6b76f.128x128.png,magus_elevate,5a04750e6c4655012038ddce,54.0
Magus Aggress,items/images/en/thumbs/magus_aggress.03f6a273fe2e6e2b3720957cf32c2adf.128x128.png,magus_aggress,644b00237ec1900044b9772e,36.0
Emergence Dissipate,items/images/en/thumbs/emergence_dissipate.83218167b319a330d85249791386f866.128x128.png,emergence_dissipate,626a1978f40db600660a1d7a,26.0
Emergence Savior,items/images/en/thumbs/emergence_savior.d3cab5acf5703d92987d92188478d65d.128x128.png,emergence_savior,626a197bf40db600660a1d88,25.0
Emergence Renewed,items/images/en/thumbs/emergence_renewed.a5f55caadd8f27ff5acbe25bbd9b00a7.128x128.png,emergence_renewed,626a1979f40db600660a1d81,22.0
Magus Drive,items/images/en/thumbs/magus_drive.618edddcaa1b6d427526a4fe89063deb.128x128.png,magus_drive,5c1bda2014a8e4006b1dad98,
Magus Husk,items/images/en/thumbs/magus_husk.e06a95548913c871fb0bd03a1691f917.128x128.png,magus_husk,5a04750c6c4655012038ddca,
