item_name,thumb,url_name,id,avg_price
Longbow Sharpshot,items/images/en/thumbs/longbow_sharpshot.1edd43d82c3b61da2555a2ccb9ba9332.128x128.png,longbow_sharpshot,644b00227ec1900044b97727,452
Primary Blight,items/images/en/thumbs/primary_blight.7dc9243c44441b2b46f7e1dc55eae1d0.128x128.png,primary_blight,649322af7ec190215a693092,440
Shotgun Vendetta,items/images/en/thumbs/shotgun_vendetta.219b0d47d26345b989decc3a56326c54.128x128.png,shotgun_vendetta,644b00227ec1900044b97729,207
Primary Plated Round,items/images/en/thumbs/primary_plated_round.db83727f4a2cc66deac96ae09ab0299f.128x128.png,primary_plated_round,63ee00fc10125411da49e6e7,176
Primary Exhilarate,items/images/en/thumbs/primary_exhilarate.faf6786dd12bc3e40a3c88a6b5bfac22.128x128.png,primary_exhilarate,644b00257ec1900044b97737,93
Primary Obstruct,items/images/en/thumbs/primary_obstruct.fdedb1774329c76fa8083cf43fa76a06.128x128.png,primary_obstruct,644b00217ec1900044b97722,90
Primary Crux,items/unknown.thumb.png,primary_crux,675c59347b18977f6e6453ec,53
Primary Frostbite,items/images/en/thumbs/primary_frostbite.3aba98f1779bfc69c3139e83dbda1463.128x128.png,primary_frostbite,63886516e7c988007b5bd50a,40
Fractalized Reset,items/images/en/thumbs/fractalized_reset.234df692ab2ebf6bd1e73f1f115547fa.128x128.png,fractalized_reset,62af145c5d2dab005422903a,30
Primary Merciless,items/images/en/thumbs/primary_merciless.baca700cca91762be6465c5f52584fa7.128x128.png,primary_merciless,60e70f79479445008f272573,21
Primary Deadhead,items/images/en/thumbs/primary_deadhead.75738d3c111067da8e673bf8000a6710.128x128.png,primary_deadhead,60e70f80479445008f2725a4,16
Primary Dexterity,items/images/en/thumbs/primary_dexterity.accc2c9a2780152f354696b2549814bc.128x128.png,primary_dexterity,60e70f80479445008f2725a6,12
